locus_tag,start,end,length,strand,old_locus_tag,ncbi_protein,gene_name,gene_product,Eggnog_description,COG_category,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,ENTRAF_TF,ENTRAF_hmm_acc,ENTRAF_hmm_name,ENTRAF_Ortholog,DeepTFactor_TF,DeepTFactor_score,P2TF_TF,P2TF_class,P2TF_type,P2TF_description
SYNPCC7942_RS00055,10998,11489,492,-,Synpcc7942_0011,WP_126147300.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0129,False,,,
SYNPCC7942_RS00060,11641,11964,324,-,Synpcc7942_0012,WP_011377401.1,rps6,30S ribosomal protein S6,Binds together with S18 to 16S ribosomal RNA,J,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015935,GO:0019843,GO:0022626,GO:0022627,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0070181,GO:0097159,GO:1901363,GO:1990904",,ko:K02990,"ko03010,map03010",M00178,,,"br01610,ko00000,ko00001,ko00002,ko03011,ko03029",,,,Ribosomal_S6,False,,,,False,0.0078,False,,,
SYNPCC7942_RS00065,12321,13028,708,+,Synpcc7942_0013,WP_011243794.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,True,0.6799,False,,,
SYNPCC7942_RS00070,13067,13411,345,-,Synpcc7942_0014,WP_011243793.1,,hypothetical protein,ATPase activity,T,,,,,,,,,,,,,False,,,,False,0.0034,False,,,
SYNPCC7942_RS00075,13577,14248,672,-,Synpcc7942_0015,WP_011243792.1,piuC,Fe2+-dependent dioxygenase,PKHD-type hydroxylase,C,,,ko:K07336,,,,,"ko00000,ko01000",,,,2OG-FeII_Oxy_3,False,,,,False,0.0054,False,,,
SYNPCC7942_RS00080,14419,14628,210,+,,WP_049749321.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.006,False,,,
SYNPCC7942_RS00085,15020,15604,585,+,Synpcc7942_0016,WP_011243791.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0069,False,,,
SYNPCC7942_RS00090,15630,16193,564,-,Synpcc7942_0017,WP_011243790.1,eda,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,Aldolase,G,,"4.1.2.14,4.1.3.42",ko:K01625,"ko00030,ko00630,ko01100,ko01120,ko01200,map00030,map00630,map01100,map01120,map01200","M00008,M00061,M00308,M00631","R00470,R05605","RC00307,RC00308,RC00435","ko00000,ko00001,ko00002,ko01000",,,,Aldolase,False,,,,False,0.0065,False,,,
SYNPCC7942_RS00095,16206,18392,2187,-,Synpcc7942_0018,WP_011377402.1,glyS,glycine--tRNA ligase subunit beta,Glycyl-tRNA synthetase beta subunit,J,,6.1.1.14,ko:K01879,"ko00970,map00970",M00360,R03654,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",,,iJN678.glyS,"DALR_1,tRNA_synt_2f",False,,,,False,0.0176,False,,,
SYNPCC7942_RS00100,18615,20489,1875,+,Synpcc7942_0019,WP_011377403.1,sir,sulfite reductase%2C ferredoxin dependent,Belongs to the nitrite and sulfite reductase 4Fe-4S domain family,C,"GO:0003674,GO:0003824,GO:0006790,GO:0008150,GO:0008152,GO:0009987,GO:0016002,GO:0016491,GO:0016667,GO:0016673,GO:0019419,GO:0044237,GO:0050311,GO:0055114",1.8.7.1,ko:K00392,"ko00920,ko01100,ko01120,map00920,map01100,map01120",M00176,"R00859,R03600",RC00065,"ko00000,ko00001,ko00002,ko01000",,,,"NIR_SIR,NIR_SIR_ferr",False,,,,False,0.0187,False,,,
SYNPCC7942_RS00105,20490,21092,603,+,Synpcc7942_0020,WP_011243787.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0072,False,,,
SYNPCC7942_RS00110,21134,21874,741,-,Synpcc7942_0021,WP_011243786.1,cobK,cobalt-precorrin-6A reductase,Precorrin-6x reductase CbiJ/CobK,H,,"1.3.1.106,1.3.1.54",ko:K05895,"ko00860,ko01100,map00860,map01100",,"R05150,R05812",RC01280,"ko00000,ko00001,ko01000",,,,CbiJ,False,,,,False,0.0116,False,,,
SYNPCC7942_RS00115,21880,23049,1170,-,Synpcc7942_0022,WP_011377404.1,,pentapeptide repeat-containing protein,Pentapeptide repeats (8 copies),S,,,,,,,,,,,,Pentapeptide,False,,,,False,0.006,False,,,
SYNPCC7942_RS00120,23057,24121,1065,-,Synpcc7942_0023,WP_011243784.1,cax,calcium/proton exchanger,calcium proton exchanger,P,,,ko:K07300,,,,,"ko00000,ko02000",2.A.19,,,Na_Ca_ex,False,,,,False,0.005,False,,,
SYNPCC7942_RS00125,24181,25371,1191,-,Synpcc7942_0024,WP_011377405.1,,DUF4336 domain-containing protein,Domain of unknown function (DUF4336),S,,,,,,,,,,,,DUF4336,False,,,,False,0.0116,False,,,
SYNPCC7942_RS00130,25479,27122,1644,+,Synpcc7942_0025,WP_161565872.1,,alpha/beta hydrolase,dienelactone hydrolase,S,,,,,,,,,,,,"Abhydrolase_1,Chlorophyllase2,DUF1400,Hydrolase_4,PAF-AH_p_II",False,,,,False,0.0087,False,,,
SYNPCC7942_RS00135,27082,28059,978,-,Synpcc7942_0026,WP_011243781.1,,aldo/keto reductase,Aldo/keto reductase family,C,,,,,,,,,,,,Aldo_ket_red,False,,,,False,0.0084,False,,,
SYNPCC7942_RS00140,28184,29350,1167,+,Synpcc7942_0027,WP_011243780.1,bioF,8-amino-7-oxononanoate synthase,"Catalyzes the decarboxylative condensation of pimeloyl- acyl-carrier protein and L-alanine to produce 8-amino-7- oxononanoate (AON), acyl-carrier protein , and carbon dioxide",E,,"2.3.1.29,2.3.1.47","ko:K00639,ko:K00652","ko00260,ko00780,ko01100,map00260,map00780,map01100","M00123,M00573,M00577","R00371,R03210,R10124","RC00004,RC00039,RC00394,RC02725","ko00000,ko00001,ko00002,ko01000,ko01007",,,iJN678.bioF,Aminotran_1_2,False,,,,False,0.0083,False,,,
SYNPCC7942_RS00145,29347,30015,669,+,Synpcc7942_0028,WP_011377407.1,,alpha/beta hydrolase,carboxylic ester hydrolase activity,I,,3.1.1.85,ko:K19560,"ko00780,ko01100,map00780,map01100",M00572,R09725,"RC00460,RC00461","ko00000,ko00001,ko00002,ko01000",,,,,False,,,,False,0.0106,False,,,
SYNPCC7942_RS00150,30012,30833,822,+,Synpcc7942_0029,WP_011243778.1,,methyltransferase domain-containing protein,Methyltransferase domain,S,,2.1.1.197,ko:K02169,"ko00780,ko01100,map00780,map01100",M00572,R09543,"RC00003,RC00460","ko00000,ko00001,ko00002,ko01000",,,,"Methyltransf_11,Methyltransf_23,Methyltransf_25",False,,,,False,0.0088,False,,,
SYNPCC7942_RS00155,30839,31471,633,+,Synpcc7942_0030,WP_011243777.1,bioD,dethiobiotin synthase,"Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring",H,"GO:0003674,GO:0003824,GO:0004141,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006732,GO:0006766,GO:0006767,GO:0006768,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009102,GO:0009108,GO:0009110,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0016882,GO:0017144,GO:0018130,GO:0019752,GO:0032787,GO:0034641,GO:0042364,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:0072330,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",6.3.3.3,ko:K01935,"ko00780,ko01100,map00780,map01100","M00123,M00573,M00577",R03182,RC00868,"ko00000,ko00001,ko00002,ko01000",,,,AAA_26,False,,,,False,0.0072,False,,,
SYNPCC7942_RS00160,31464,32738,1275,+,Synpcc7942_0031,WP_011243776.1,bioA,adenosylmethionine--8-amino-7-oxononanoate transaminase,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,H,,2.6.1.62,ko:K00833,"ko00780,ko01100,map00780,map01100","M00123,M00573,M00577",R03231,"RC00006,RC00887","ko00000,ko00001,ko00002,ko01000,ko01007",,,,Aminotran_3,False,,,,False,0.0089,False,,,
SYNPCC7942_RS00165,32849,33202,354,-,Synpcc7942_0032,WP_011243775.1,,DUF86 domain-containing protein,Protein of unknown function DUF86,S,,,,,,,,,,,,DUF86,False,,,,False,0.0993,False,,,
SYNPCC7942_RS13645,33174,33506,333,-,Synpcc7942_0033,WP_011243774.1,,nucleotidyltransferase family protein,Nucleotidyltransferase domain,S,,,ko:K07075,,,,,ko00000,,,,NTP_transf_2,False,,,,False,0.0796,False,,,
SYNPCC7942_RS00170,33960,34289,330,+,,WP_039755513.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0036,False,,,
SYNPCC7942_RS00175,34357,35115,759,-,Synpcc7942_0035,WP_011377409.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.008,False,,,
SYNPCC7942_RS00180,35341,36126,786,+,Synpcc7942_0036,WP_011377410.1,,hypothetical protein,"Catalyzes the formation of the isocyclic ring in chlorophyll biosynthesis. Mediates the cyclase reaction, which results in the formation of divinylprotochlorophyllide (Pchlide) characteristic of all chlorophylls from magnesium-protoporphyrin IX 13-monomethyl ester (MgPMME)",S,,,,,,,,,,,,,False,,,,False,0.01,False,,,
SYNPCC7942_RS00185,36123,36326,204,-,Synpcc7942_0037,WP_011377411.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0185,False,,,
SYNPCC7942_RS00190,36479,36955,477,+,Synpcc7942_0038,WP_011377412.1,,NUDIX hydrolase,NUDIX domain,F,,,,,,,,,,,,NUDIX,False,,,,False,0.0416,False,,,
SYNPCC7942_RS00195,37130,38545,1416,+,Synpcc7942_0039,WP_011377413.1,gndA,NADP-dependent phosphogluconate dehydrogenase,"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH",H,,"1.1.1.343,1.1.1.44",ko:K00033,"ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map00480,map01100,map01110,map01120,map01130,map01200","M00004,M00006","R01528,R10221","RC00001,RC00539","ko00000,ko00001,ko00002,ko01000",,,,"6PGD,NAD_binding_2",False,,,,False,0.0048,False,,,
SYNPCC7942_RS00200,38630,39007,378,+,Synpcc7942_0040,WP_011243769.1,folB,dihydroneopterin aldolase,"Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin",H,,"1.13.11.81,4.1.2.25,5.1.99.8",ko:K01633,"ko00790,ko01100,map00790,map01100","M00126,M00840","R03504,R11037,R11073","RC00721,RC00943,RC01479,RC03333,RC03334","ko00000,ko00001,ko00002,ko01000",,,,FolB,False,,,,False,0.0128,False,,,
SYNPCC7942_RS00205,39345,40745,1401,+,Synpcc7942_0041,WP_190528559.1,,SLC13 family permease,COG1055 Na H antiporter NhaD and related arsenite,P,,,,,,,,,,,,CitMHS,False,,,,False,0.0055,False,,,
SYNPCC7942_RS00210,40855,41091,237,-,Synpcc7942_0042,WP_011243767.1,rpmB,50S ribosomal protein L28,Belongs to the bacterial ribosomal protein bL28 family,J,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904",,ko:K02902,"ko03010,map03010",M00178,,,"br01610,ko00000,ko00001,ko00002,ko03011",,,,Ribosomal_L28,False,,,,False,0.0375,False,,,
SYNPCC7942_RS00215,41131,41496,366,-,Synpcc7942_0043,WP_011243766.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0072,False,,,
SYNPCC7942_RS00220,41495,43477,1983,+,Synpcc7942_0044,WP_011377415.1,,FAD-dependent oxidoreductase,FAD dependent oxidoreductase,E,,,,,,,,,,,,FAD_oxidored,False,,,,False,0.0075,False,,,
SYNPCC7942_RS00225,43572,44927,1356,+,Synpcc7942_0045,WP_011377416.1,,tetratricopeptide repeat protein,Tetratricopeptide repeat,M,,,,,,,,,,,,"Glyco_transf_9,TPR_1,TPR_11,TPR_16,TPR_19,TPR_2,TPR_7,TPR_8",False,,,,False,0.0155,False,,,
SYNPCC7942_RS00230,45164,46507,1344,+,Synpcc7942_0046,WP_011243763.1,,class I SAM-dependent methyltransferase,Methyltransferase small domain,Q,,,,,,,,,,,,Methyltransf_31,False,,,,False,0.0111,False,,,
SYNPCC7942_RS00235,46515,48881,2367,+,Synpcc7942_0047,WP_011377417.1,,exostosin family protein,ADP-heptose-lipopolysaccharide heptosyltransferase activity,M,,,,,,,,,,,,"Glyco_trans_1_4,Glyco_transf_9,TPR_16",False,,,,False,0.0133,False,,,
SYNPCC7942_RS00240,48927,49361,435,-,Synpcc7942_0048,WP_011377418.1,,type II secretion system protein,Pfam:N_methyl_2,U,,,ko:K02650,"ko02020,map02020",,,,"ko00000,ko00001,ko02035,ko02044",3.A.15.2,,,N_methyl,False,,,,False,0.0051,False,,,
SYNPCC7942_RS00245,49550,49984,435,-,Synpcc7942_0049,WP_011377419.1,,type II secretion system GspH family protein,Pfam:N_methyl_2,U,,,ko:K02650,"ko02020,map02020",,,,"ko00000,ko00001,ko02035,ko02044",3.A.15.2,,,N_methyl,False,,,,False,0.0047,False,,,
SYNPCC7942_RS00250,50070,52616,2547,+,Synpcc7942_0050,WP_011243761.1,,glycosyltransferase,Glycosyltransferase like family 2,M,,,,,,,,,,,,"Glycos_transf_1,Glycos_transf_2",False,,,,False,0.0075,False,,,
SYNPCC7942_RS00255,52606,54507,1902,-,Synpcc7942_0051,WP_011377420.1,,hypothetical protein,Glycosyl transferase family 41,O,,,,,,,,,,,,"Glyco_transf_41,TPR_11",False,,,,False,0.0073,False,,,
SYNPCC7942_RS00260,54512,55030,519,-,Synpcc7942_0052,WP_011243759.1,,methyltransferase domain-containing protein,Methyltransferase domain,S,,,,,,,,,,,,Methyltransf_11,False,,,,False,0.01,False,,,
SYNPCC7942_RS00265,55204,56352,1149,-,Synpcc7942_0053,WP_011243758.1,,glycosyltransferase,Glycosyl transferase family 2,O,,,,,,,,,,,,Glycos_transf_2,False,,,,False,0.0275,False,,,
SYNPCC7942_RS00270,56423,57190,768,-,Synpcc7942_0054,WP_011243757.1,,cephalosporin hydroxylase family protein,Cephalosporin hydroxylase,V,,,,,,,,,,,,CmcI,False,,,,False,0.0097,False,,,
SYNPCC7942_RS00275,57223,57723,501,-,Synpcc7942_0055,WP_162010026.1,,hypothetical protein,"COG1670 acetyltransferases, including N-acetylases of ribosomal proteins",J,,,,,,,,,,,,"Acetyltransf_1,Acetyltransf_3,Acetyltransf_4",False,,,,False,0.0097,False,,,
SYNPCC7942_RS00280,57941,59068,1128,-,Synpcc7942_0056,WP_011377422.1,rfbE,DegT/DnrJ/EryC1/StrS aminotransferase family protein,Belongs to the DegT DnrJ EryC1 family,M,,"1.17.1.1,2.6.1.102","ko:K12452,ko:K13010","ko00520,map00520",,"R03391,R03392,R10460","RC00006,RC00230,RC00781","ko00000,ko00001,ko01000,ko01005,ko01007",,,,DegT_DnrJ_EryC1,False,,,,False,0.0055,False,,,
SYNPCC7942_RS00285,59072,60304,1233,-,Synpcc7942_0057,WP_011243755.1,,class I SAM-dependent methyltransferase,C-methyltransferase C-terminal domain,H,,,,,,,,,,,,"Methyltransf_13,Methyltransf_14,Methyltransf_23",False,,,,False,0.0099,False,,,
SYNPCC7942_RS00290,60301,60846,546,-,Synpcc7942_0058,WP_011243754.1,rfbC,dTDP-4-dehydrorhamnose 3%2C5-epimerase,"Catalyzes the epimerization of the C3' and C5'positions of dTDP-6-deoxy-D-xylo-4-hexulose, forming dTDP-6-deoxy-L-lyxo-4- hexulose",M,,5.1.3.13,ko:K01790,"ko00521,ko00523,ko01130,map00521,map00523,map01130",M00793,R06514,RC01531,"ko00000,ko00001,ko00002,ko01000",,,,dTDP_sugar_isom,False,,,,False,0.0131,False,,,
SYNPCC7942_RS00295,60867,61112,246,-,Synpcc7942_0059,WP_011377423.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.009,False,,,
SYNPCC7942_RS00305,61366,62472,1107,-,Synpcc7942_0061,WP_011377425.1,rfbG,CDP-glucose 4%2C6-dehydratase,Polysaccharide biosynthesis protein,M,,4.2.1.45,ko:K01709,"ko00520,map00520",,R02426,RC00402,"ko00000,ko00001,ko01000",,,,GDP_Man_Dehyd,False,,,,False,0.0117,False,,,
SYNPCC7942_RS00310,62469,63242,774,-,Synpcc7942_0062,WP_011243752.1,rfbF,glucose-1-phosphate cytidylyltransferase,Nucleotidyl transferase,JM,,2.7.7.33,ko:K00978,"ko00500,ko00520,ko01100,map00500,map00520,map01100",,R00956,RC00002,"ko00000,ko00001,ko01000",,,,NTP_transferase,False,,,,False,0.0057,False,,,
SYNPCC7942_RS00315,64266,64706,441,-,Synpcc7942_0063,WP_011243751.1,,dual specificity protein phosphatase family protein,phosphatase,T,,,,,,,,,,,,DSPc,False,,,,False,0.0556,False,,,
SYNPCC7942_RS13650,64754,64870,117,-,,,,DUF2887 domain-containing protein,,X,,,,,,,,,,,,,False,,,,False,0.0104,False,,,
SYNPCC7942_RS00320,64987,65541,555,-,Synpcc7942_0065,WP_011243750.1,infC,translation initiation factor IF-3,"IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins",J,"GO:0003674,GO:0003676,GO:0003723,GO:0003743,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006413,GO:0006518,GO:0006807,GO:0006996,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016043,GO:0019538,GO:0022411,GO:0032790,GO:0032984,GO:0032988,GO:0034641,GO:0034645,GO:0043021,GO:0043022,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1903008",,ko:K02520,,,,,"ko00000,ko03012,ko03029",,,,"IF3_C,IF3_N",False,,,,False,0.0106,False,,,
SYNPCC7942_RS00325,65658,67172,1515,-,Synpcc7942_0066,WP_011243749.1,,Gldg family protein,ABC-type uncharacterized transport system,N,,,,,,,,,,,,ABC_transp_aux,False,,,,False,0.0072,False,,,
SYNPCC7942_RS00330,67177,67986,810,-,Synpcc7942_0067,WP_011243748.1,,ABC transporter permease subunit,ABC-2 family transporter protein,S,,,ko:K01992,,M00254,,,"ko00000,ko00002,ko02000",3.A.1,,,"ABC2_membrane_2,ABC2_membrane_3",False,,,,False,0.0076,False,,,
SYNPCC7942_RS00335,67991,68944,954,-,Synpcc7942_0068,WP_011243747.1,,ABC transporter ATP-binding protein,ABC transporter,V,,,ko:K01990,,M00254,,,"ko00000,ko00002,ko02000",3.A.1,,,ABC_tran,False,,,,False,0.0146,False,,,
SYNPCC7942_RS00340,69079,69375,297,+,Synpcc7942_0069,WP_011377428.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0123,False,,,
SYNPCC7942_RS00345,69378,69938,561,-,Synpcc7942_0070,WP_011243746.1,,pyridoxamine 5'-phosphate oxidase family protein,Pyridoxamine 5'-phosphate oxidase,S,,1.4.3.5,ko:K00275,"ko00750,ko01100,ko01120,map00750,map01100,map01120",M00124,"R00277,R00278,R01710,R01711","RC00048,RC00116","ko00000,ko00001,ko00002,ko01000",,,,Pyridox_oxase_2,False,,,,False,0.0105,False,,,
SYNPCC7942_RS00350,69940,71139,1200,-,Synpcc7942_0071,WP_011243745.1,degT,DegT/DnrJ/EryC1/StrS family aminotransferase,Belongs to the DegT DnrJ EryC1 family,E,,,,,,,,,,,,DegT_DnrJ_EryC1,False,,,,False,0.0103,False,,,
SYNPCC7942_RS00355,71307,71960,654,-,Synpcc7942_0072,WP_011243744.1,,DUF1997 domain-containing protein,Protein of unknown function (DUF1997),L,,,,,,,,,,,,DUF1997,False,,,,False,0.007,False,,,
SYNPCC7942_RS00360,72000,73196,1197,-,Synpcc7942_0073,WP_011243743.1,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis,IM,,1.17.7.4,ko:K03527,"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130",M00096,"R05884,R08210","RC01137,RC01487","ko00000,ko00001,ko00002,ko01000",,,,LYTB,False,,,,False,0.0075,False,,,
SYNPCC7942_RS00365,73306,73659,354,-,Synpcc7942_0074,WP_011377429.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0078,False,,,
SYNPCC7942_RS00370,73775,75088,1314,+,Synpcc7942_0075,WP_011243741.1,pepP,aminopeptidase P N-terminal domain-containing protein,Belongs to the peptidase M24B family,E,,3.4.11.9,ko:K01262,,,,,"ko00000,ko01000,ko01002",,,,"AMP_N,Peptidase_M24",False,,,,False,0.0145,False,,,
SYNPCC7942_RS00375,75091,75852,762,+,Synpcc7942_0076,WP_011243740.1,,transporter substrate-binding domain-containing protein,"Bacterial extracellular solute-binding proteins, family 3",ET,,,ko:K02030,,M00236,,,"ko00000,ko00002,ko02000",3.A.1.3,,,SBP_bac_3,False,,,,False,0.007,False,,,
